Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:12:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:14:17 PM     all     90.60      0.00      3.67      0.00      0.00      5.72
12:14:18 PM     all     81.49      0.00      3.63      0.00      0.00     14.88
12:14:19 PM     all     40.87      0.00      1.23      0.00      0.00     57.90
12:14:20 PM     all     30.43      0.00      7.46      0.00      0.00     62.10
12:14:21 PM     all     56.00      0.00      7.83      0.00      0.00     36.18
12:14:22 PM     all     91.22      0.00      3.83      0.00      0.00      4.95
12:14:23 PM     all     77.05      0.00      9.89      0.00      0.00     13.05
12:14:24 PM     all     43.23      0.00      1.76      0.00      0.00     55.00
12:14:25 PM     all     28.81      0.00      8.53      0.00      0.00     62.67
12:14:26 PM     all     50.91      0.00      6.98      0.00      0.00     42.11
12:14:27 PM     all     89.93      0.00      4.61      0.00      0.00      5.46
12:14:28 PM     all     81.93      0.00      5.97      0.00      0.00     12.10
12:14:29 PM     all     43.87      0.00      1.86      0.00      0.00     54.26
12:14:30 PM     all     32.48      0.00      3.29      0.00      0.00     64.23
12:14:31 PM     all     49.72      0.00      7.34      0.00      0.00     42.94
12:14:32 PM     all     91.16      0.00      4.46      0.00      0.00      4.38
12:14:33 PM     all     84.44      0.00      4.59      0.00      0.00     10.97
12:14:34 PM     all     45.14      0.00      1.44      0.00      0.00     53.42
12:14:35 PM     all     28.59      0.00      7.67      0.00      0.00     63.74
12:14:36 PM     all     47.42      0.00      7.12      0.00      0.00     45.45
12:14:37 PM     all     92.05      0.00      3.72      0.00      0.00      4.23
12:14:38 PM     all     83.54      0.00      9.77      0.00      0.00      6.69
12:14:39 PM     all     45.45      0.00      1.58      0.00      0.00     52.97
12:14:40 PM     all     27.60      0.00      8.96      0.02      0.00     63.41
12:14:41 PM     all     46.74      0.00      7.17      0.00      0.00     46.09
12:14:42 PM     all     90.78      0.00      4.11      0.00      0.00      5.11
12:14:43 PM     all     86.30      0.00      8.39      0.00      0.00      5.32
12:14:44 PM     all     46.32      0.00      2.83      0.00      0.00     50.85
12:14:45 PM     all     28.70      0.00      4.51      0.00      0.00     66.79
12:14:46 PM     all     46.65      0.00      8.73      0.00      0.00     44.62
12:14:47 PM     all     88.18      0.00      4.57      0.00      0.00      7.25
12:14:48 PM     all     88.97      0.00      6.17      0.00      0.00      4.86
12:14:49 PM     all     46.77      0.00      1.71      0.00      0.00     51.51
12:14:50 PM     all     29.81      0.00      2.38      0.00      0.00     67.81
12:14:51 PM     all     44.57      0.00      6.81      0.00      0.00     48.62
