Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:02:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:03:54 PM     all     36.71      0.00      8.82      0.00      0.00     54.47
12:03:55 PM     all     84.24      0.00      6.79      0.00      0.00      8.96
12:03:56 PM     all     71.66      0.00      4.98      0.00      0.00     23.36
12:03:57 PM     all     38.78      0.00      1.86      0.00      0.00     59.36
12:03:58 PM     all     34.25      0.00      4.79      0.00      0.00     60.96
12:03:59 PM     all     82.23      0.00      7.86      0.00      0.00      9.91
12:04:00 PM     all     69.67      0.00     18.38      0.00      0.00     11.96
12:04:01 PM     all     49.07      0.00      3.14      0.00      0.00     47.79
12:04:02 PM     all     31.56      0.00      4.25      0.00      0.00     64.19
12:04:03 PM     all     68.83      0.00      7.25      0.00      0.00     23.92
12:04:04 PM     all     83.90      0.00      4.50      0.00      0.00     11.61
12:04:05 PM     all     52.17      0.00      3.66      0.00      0.00     44.17
12:04:06 PM     all     29.50      0.00      5.87      0.00      0.00     64.63
12:04:07 PM     all     59.46      0.00      7.66      0.00      0.00     32.88
12:04:08 PM     all     86.25      0.00      9.57      0.00      0.00      4.17
12:04:09 PM     all     51.56      0.00      3.05      0.00      0.00     45.39
12:04:10 PM     all     37.34      0.00      2.49      0.00      0.00     60.17
12:04:11 PM     all     59.99      0.00      8.26      0.00      0.00     31.75
12:04:12 PM     all     91.37      0.00      4.61      0.00      0.00      4.03
12:04:13 PM     all     53.87      0.00      1.97      0.00      0.00     44.16
12:04:14 PM     all     29.80      0.00      6.28      0.00      0.00     63.92
12:04:15 PM     all     59.86      0.00      7.24      0.00      0.00     32.90
12:04:16 PM     all     87.84      0.00      4.22      0.00      0.00      7.94
12:04:17 PM     all     49.24      0.00      4.70      0.00      0.00     46.06
12:04:18 PM     all     29.61      0.00      3.32      0.00      0.00     67.07
12:04:19 PM     all     59.40      0.00      6.64      0.00      0.00     33.96
12:04:20 PM     all     87.52      0.00      3.43      0.00      0.00      9.06
12:04:21 PM     all     32.55      0.00     18.63      0.00      0.00     48.82
12:04:22 PM     all     26.40      0.00     12.61      0.00      0.00     60.99
12:04:23 PM     all     40.36      0.00      9.74      0.00      0.00     49.90
12:04:24 PM     all     88.83      0.00      5.05      0.00      0.00      6.12
12:04:25 PM     all     63.78      0.00      4.53      0.00      0.00     31.69
12:04:26 PM     all     33.61      0.00      2.90      0.00      0.00     63.49
12:04:27 PM     all     41.14      0.00      6.37      0.00      0.00     52.50
12:04:28 PM     all     91.64      0.00      5.06      0.00      0.00      3.30
12:04:29 PM     all     61.74      0.00      2.61      0.00      0.00     35.65
12:04:30 PM     all     30.42      0.00      2.09      0.00      0.00     67.50
12:04:31 PM     all     38.45      0.00      8.73      0.00      0.00     52.83
12:04:32 PM     all     85.98      0.00      6.59      0.00      0.00      7.43
12:04:33 PM     all     60.70      0.00      6.28      0.00      0.00     33.01
12:04:34 PM     all     34.19      0.00      1.79      0.00      0.00     64.01
12:04:35 PM     all     40.55      0.00      9.77      0.00      0.00     49.68
12:04:36 PM     all     87.50      0.00      4.43      0.00      0.00      8.07
12:04:37 PM     all     64.13      0.00      3.66      0.00      0.00     32.21
12:04:38 PM     all     33.06      0.00      1.79      0.00      0.00     65.15
12:04:39 PM     all     43.68      0.00      6.38      0.00      0.00     49.94
12:04:40 PM     all     89.92      0.00      5.09      0.00      0.00      4.99
12:04:41 PM     all     62.36      0.00      3.44      0.00      0.00     34.20
12:04:42 PM     all     33.95      0.00      2.41      0.00      0.00     63.64
12:04:43 PM     all     43.92      0.00      9.19      0.00      0.00     46.89
12:04:44 PM     all     89.62      0.00      5.88      0.00      0.00      4.50
12:04:45 PM     all     49.84      0.00     13.27      0.00      0.00     36.89
12:04:46 PM     all     37.13      0.00      2.11      0.00      0.00     60.76
12:04:47 PM     all     41.41      0.00      7.85      0.00      0.00     50.73
12:04:48 PM     all     87.06      0.00      6.03      0.00      0.00      6.91
12:04:49 PM     all     63.85      0.00      4.87      0.00      0.00     31.29
12:04:50 PM     all     33.76      0.00      1.89      0.00      0.00     64.34
12:04:51 PM     all     40.28      0.00      9.05      0.00      0.00     50.67
12:04:52 PM     all     82.18      0.00      6.25      0.00      0.00     11.57
12:04:53 PM     all     63.59      0.00      5.31      0.00      0.00     31.10
12:04:54 PM     all     36.19      0.00      1.85      0.00      0.00     61.96
12:04:55 PM     all     37.68      0.00      7.82      0.00      0.00     54.51
12:04:56 PM     all     82.00      0.00      5.63      0.00      0.00     12.37
12:04:57 PM     all     67.86      0.00      6.47      0.00      0.00     25.66
12:04:58 PM     all     35.74      0.00      8.25      0.00      0.00     56.01
12:04:59 PM     all     32.90      0.00      8.25      0.00      0.00     58.85
12:05:00 PM     all     84.71      0.00      5.43      0.00      0.00      9.86
12:05:01 PM     all     69.24      0.00      4.82      0.00      0.00     25.93
12:05:02 PM     all     37.38      0.00      2.32      0.00      0.00     60.29
12:05:03 PM     all     41.42      0.00      7.01      0.00      0.00     51.57
12:05:04 PM     all     80.78      0.00      6.93      0.00      0.00     12.29
12:05:05 PM     all     62.78      0.00     13.78      0.00      0.00     23.45
12:05:06 PM     all     36.31      0.00      1.15      0.00      0.00     62.54
12:05:07 PM     all     32.44      0.00      4.53      0.00      0.00     63.03
12:05:08 PM     all     81.73      0.00      6.01      0.00      0.00     12.25
12:05:09 PM     all     74.16      0.00      4.55      0.00      0.00     21.28
12:05:10 PM     all     36.16      0.00      1.59      0.00      0.00     62.25
12:05:11 PM     all     31.81      0.00      7.63      0.00      0.00     60.56
12:05:12 PM     all     79.25      0.00      6.72      0.00      0.00     14.04
12:05:13 PM     all     75.64      0.00      8.88      0.03      0.00     15.46
12:05:14 PM     all     38.84      0.00      2.03      0.00      0.00     59.13
12:05:15 PM     all     27.72      0.00      5.92      0.00      0.00     66.37
12:05:16 PM     all     70.90      0.00      6.98      0.00      0.00     22.12
12:05:17 PM     all     84.75      0.00      5.22      0.00      0.00     10.03
12:05:18 PM     all     50.87      0.00      6.87      0.00      0.00     42.26
12:05:19 PM     all     32.04      0.00      3.83      0.00      0.00     64.13
12:05:20 PM     all     63.16      0.00      7.12      0.00      0.00     29.71
12:05:21 PM     all     89.01      0.00      4.29      0.00      0.00      6.70
12:05:22 PM     all     48.73      0.00      2.21      0.00      0.00     49.06
12:05:23 PM     all     34.86      0.00      4.90      0.00      0.00     60.25
12:05:24 PM     all     58.61      0.00      7.90      0.00      0.00     33.50
12:05:25 PM     all     89.49      0.00      5.87      0.00      0.00      4.64
12:05:26 PM     all     52.82      0.00      3.99      0.00      0.00     43.19
12:05:27 PM     all     36.33      0.00      4.01      0.00      0.00     59.66
12:05:28 PM     all     58.26      0.00      8.00      0.00      0.00     33.73
12:05:29 PM     all     90.66      0.00      4.53      0.00      0.00      4.81
12:05:30 PM     all     51.78      0.00      3.04      0.00      0.00     45.17
12:05:31 PM     all     31.18      0.00      3.81      0.00      0.00     65.00
12:05:32 PM     all     56.61      0.00      8.23      0.00      0.00     35.16
12:05:33 PM     all     85.00      0.00      9.34      0.00      0.00      5.66
12:05:34 PM     all     51.59      0.00      4.27      0.00      0.00     44.14
12:05:35 PM     all     37.21      0.00      6.30      0.00      0.00     56.49
12:05:36 PM     all     52.84      0.00      8.14      0.00      0.00     39.02
12:05:37 PM     all     89.47      0.00      5.38      0.00      0.00      5.15
12:05:38 PM     all     53.12      0.00      2.61      0.00      0.00     44.27
12:05:39 PM     all     36.27      0.00      2.86      0.00      0.00     60.87
12:05:40 PM     all     37.48      0.00     15.57      0.00      0.00     46.95
12:05:41 PM     all     84.75      0.00      5.65      0.00      0.00      9.60
12:05:42 PM     all     63.67      0.00     10.80      0.00      0.00     25.53
12:05:43 PM     all     38.42      0.00      2.56      0.00      0.00     59.02
12:05:44 PM     all     19.40      0.00      2.26      0.00      0.00     78.35
12:05:45 PM     all      4.62      0.00      5.79      0.00      0.00     89.60
12:05:46 PM     all      5.39      0.00      7.05      1.58      0.00     85.98
12:05:47 PM     all      5.51      0.00      1.05      0.70      0.00     92.74
12:05:48 PM     all      3.71      0.00      0.80      0.00      0.00     95.49
12:05:49 PM     all      0.50      0.00      0.07      0.00      0.00     99.42
12:05:50 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
12:05:51 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:05:52 PM     all      0.10      0.00      0.13      0.00      0.00     99.77
12:05:53 PM     all      0.00      0.00      0.12      0.00      0.00     99.88
12:05:54 PM     all      0.03      0.00      0.07      0.00      0.00     99.90
12:05:55 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:05:56 PM     all      0.03      0.00      0.07      0.00      0.00     99.90
12:05:57 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:05:58 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:05:59 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
12:06:00 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:06:01 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:06:02 PM     all      0.00      0.00      0.07      0.00      0.00     99.92


Average:        all     50.72      0.00      5.39      0.02      0.00     43.87
