Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)
12:04:15 PM      0.00      0.00      0.00      0.00      0.00
12:04:16 PM      0.00      0.00      0.00      0.00      0.00
12:04:17 PM      0.00      0.00      0.00      0.00      0.00
12:04:18 PM      0.00      0.00      0.00      0.00      0.00
12:04:19 PM      5.00      0.00      5.00      0.00    728.00
12:04:20 PM      2.00      0.00      2.00      0.00     56.00
12:04:21 PM      0.00      0.00      0.00      0.00      0.00
12:04:22 PM      0.00      0.00      0.00      0.00      0.00
12:04:23 PM      0.00      0.00      0.00      0.00      0.00
12:04:24 PM      0.00      0.00      0.00      0.00      0.00
12:04:25 PM      7.00      0.00      7.00      0.00    480.00
12:04:26 PM      0.00      0.00      0.00      0.00      0.00
12:04:27 PM      0.00      0.00      0.00      0.00      0.00
12:04:28 PM      0.00      0.00      0.00      0.00      0.00
12:04:29 PM      0.00      0.00      0.00      0.00      0.00
12:04:30 PM     18.00      0.00     18.00      0.00    584.00
12:04:31 PM      0.00      0.00      0.00      0.00      0.00
12:04:32 PM      0.00      0.00      0.00      0.00      0.00
12:04:33 PM      0.00      0.00      0.00      0.00      0.00
12:04:34 PM      0.00      0.00      0.00      0.00      0.00
12:04:35 PM     12.00      0.00     12.00      0.00    480.00
12:04:36 PM      0.00      0.00      0.00      0.00      0.00
12:04:37 PM      0.00      0.00      0.00      0.00      0.00
12:04:38 PM      0.00      0.00      0.00      0.00      0.00
12:04:39 PM      0.00      0.00      0.00      0.00      0.00
12:04:40 PM     12.00      0.00     12.00      0.00    824.00
12:04:41 PM      0.00      0.00      0.00      0.00      0.00
12:04:42 PM      0.00      0.00      0.00      0.00      0.00
12:04:43 PM      0.00      0.00      0.00      0.00      0.00
12:04:44 PM      0.00      0.00      0.00      0.00      0.00
12:04:45 PM      3.00      0.00      3.00      0.00    408.00
12:04:46 PM      7.00      0.00      7.00      0.00     64.00
12:04:47 PM      0.00      0.00      0.00      0.00      0.00
12:04:48 PM      0.00      0.00      0.00      0.00      0.00
12:04:49 PM      0.00      0.00      0.00      0.00      0.00
12:04:50 PM      6.00      0.00      6.00      0.00    496.00
12:04:51 PM      9.00      0.00      9.00      0.00     88.00
12:04:52 PM      0.00      0.00      0.00      0.00      0.00
12:04:53 PM      0.00      0.00      0.00      0.00      0.00
12:04:54 PM      0.00      0.00      0.00      0.00      0.00
12:04:55 PM      4.00      0.00      4.00      0.00    496.00
12:04:56 PM     12.00      0.00     12.00      0.00    456.00
12:04:57 PM      0.00      0.00      0.00      0.00      0.00
12:04:58 PM      0.00      0.00      0.00      0.00      0.00
12:04:59 PM      0.00      0.00      0.00      0.00      0.00
12:05:00 PM      5.00      0.00      5.00      0.00    440.00
12:05:01 PM      9.00      0.00      9.00      0.00     72.00
12:05:02 PM      0.00      0.00      0.00      0.00      0.00
12:05:03 PM      0.00      0.00      0.00      0.00      0.00
12:05:04 PM      0.00      0.00      0.00      0.00      0.00
12:05:05 PM      3.00      0.00      3.00      0.00    472.00
12:05:06 PM      0.00      0.00      0.00      0.00      0.00
12:05:07 PM     13.00      0.00     13.00      0.00    136.00
12:05:08 PM      0.00      0.00      0.00      0.00      0.00
12:05:09 PM      0.00      0.00      0.00      0.00      0.00
12:05:10 PM      4.00      0.00      4.00      0.00    456.00
12:05:11 PM      0.00      0.00      0.00      0.00      0.00
12:05:12 PM      6.00      0.00      6.00      0.00    400.00
12:05:13 PM      0.00      0.00      0.00      0.00      0.00
12:05:14 PM      0.00      0.00      0.00      0.00      0.00
12:05:15 PM      2.00      0.00      2.00      0.00    128.00
12:05:16 PM      0.00      0.00      0.00      0.00      0.00
12:05:17 PM     13.00      0.00     13.00      0.00    448.00
12:05:18 PM      0.00      0.00      0.00      0.00      0.00
12:05:19 PM      0.00      0.00      0.00      0.00      0.00
12:05:20 PM      3.00      0.00      3.00      0.00    408.00
12:05:21 PM      0.00      0.00      0.00      0.00      0.00
12:05:22 PM      6.00      0.00      6.00      0.00     48.00
12:05:23 PM      0.00      0.00      0.00      0.00      0.00
12:05:24 PM      0.00      0.00      0.00      0.00      0.00
12:05:25 PM      3.00      0.00      3.00      0.00    408.00
12:05:26 PM      0.00      0.00      0.00      0.00      0.00
12:05:27 PM      0.00      0.00      0.00      0.00      0.00
12:05:28 PM      5.00      0.00      5.00      0.00     48.00
12:05:29 PM      0.00      0.00      0.00      0.00      0.00
12:05:30 PM      4.00      0.00      4.00      0.00    456.00
12:05:31 PM      0.00      0.00      0.00      0.00      0.00
12:05:32 PM      0.00      0.00      0.00      0.00      0.00
12:05:33 PM      7.00      0.00      7.00      0.00    408.00
12:05:34 PM      0.00      0.00      0.00      0.00      0.00
12:05:35 PM      0.00      0.00      0.00      0.00      0.00
12:05:36 PM      2.00      0.00      2.00      0.00     56.00
12:05:37 PM      0.00      0.00      0.00      0.00      0.00
12:05:38 PM      4.00      0.00      4.00      0.00    376.00
12:05:39 PM      0.00      0.00      0.00      0.00      0.00
12:05:40 PM      0.00      0.00      0.00      0.00      0.00
12:05:41 PM      4.00      0.00      4.00      0.00    416.00
12:05:42 PM      0.00      0.00      0.00      0.00      0.00
12:05:43 PM      7.00      0.00      7.00      0.00     56.00
12:05:44 PM      0.00      0.00      0.00      0.00      0.00
12:05:45 PM      0.00      0.00      0.00      0.00      0.00
12:05:46 PM    388.00      0.00    388.00      0.00 389048.00
12:05:47 PM    561.00      0.00    561.00      0.00 568168.00
12:05:48 PM      0.00      0.00      0.00      0.00      0.00
12:05:49 PM      0.00      0.00      0.00      0.00      0.00
12:05:50 PM      0.00      0.00      0.00      0.00      0.00
12:05:51 PM      5.00      0.00      5.00      0.00    152.00
12:05:52 PM      0.00      0.00      0.00      0.00      0.00
12:05:53 PM      0.00      0.00      0.00      0.00      0.00
12:05:54 PM      0.00      0.00      0.00      0.00      0.00
12:05:55 PM      0.00      0.00      0.00      0.00      0.00
12:05:56 PM      3.00      0.00      3.00      0.00     88.00
12:05:57 PM      0.00      0.00      0.00      0.00      0.00
12:05:58 PM      0.00      0.00      0.00      0.00      0.00
12:05:59 PM      0.00      0.00      0.00      0.00      0.00
12:06:00 PM      0.00      0.00      0.00      0.00      0.00
12:06:01 PM      2.00      0.00      2.00      0.00     32.00
12:06:02 PM      0.00      0.00      0.00      0.00      0.00
12:06:03 PM      0.00      0.00      0.00      0.00      0.00
12:06:04 PM      0.00      0.00      0.00      0.00      0.00


Average:        10.75      0.00     10.75      0.00   8978.18
